tiempo,frac_inf_acum,frac_inf_act
10512,0.01,0.01
10548,0.01,0.01
10584,0.01,0.01
10620,0.01,0.01
10656,0.01,0.01
10692,0.01,0.01
10728,0.01,0.01
10764,0.01,0.01
10800,0.01,0.01
10836,0.01,0.01
10872,0.01,0.01
10908,0.01,0.01
10944,0.01,0.01
10980,0.01,0.01
11016,0.01,0.01
11052,0.01,0.01
11088,0.01,0.01
11124,0.01,0.01
11160,0.01,0.01
11196,0.01,0.01
11232,0.01,0.01
11268,0.01,0.01
11304,0.01,0.01
11340,0.01,0.01
11376,0.01,0.01
11412,0.01,0.01
11448,0.01,0.01
11484,0.01,0.01
11520,0.01,0.01
11556,0.01,0.01
11592,0.01,0.01
11628,0.01,0.01
11664,0.01,0.01
11700,0.01,0.01
11736,0.01,0.01
11772,0.01,0.01
11808,0.01,0.01
11844,0.01,0.01
11880,0.01,0.01
11916,0.01,0.01
11952,0.01,0.01
11988,0.01,0.01
12024,0.01,0.01
12060,0.01,0.01
12096,0.01,0.01
12132,0.01,0.01
12168,0.01,0.01
12204,0.01,0.01
12240,0.01,0.01
12276,0.01,0.01
12312,0.01,0.01
12348,0.01,0.01
12384,0.01,0.01
12420,0.01,0.01
12456,0.01,0.01
12492,0.01,0.01
12528,0.01,0.01
12564,0.01,0.01
12600,0.01,0.01
12636,0.01,0.01
12672,0.01,0.01
12708,0.01,0.01
12744,0.01,0.01
12780,0.01,0.01
12816,0.01,0.01
12852,0.01,0.01
12888,0.01,0.01
12924,0.01,0.01
12960,0.01,0.01
12996,0.01,0.01
13032,0.01,0.01
13068,0.01,0.01
13104,0.01,0.01
13140,0.01,0.01
13176,0.01,0.01
13212,0.01,0.01
13248,0.01,0.01
13284,0.01,0.01
13320,0.01,0.01
13356,0.01,0.01
13392,0.01,0.01
13428,0.01,0.01
13464,0.01,0.01
13500,0.01,0.01
13536,0.01,0.01
13572,0.01,0.01
13608,0.01,0.01
13644,0.01,0.01
13680,0.01,0.01
13716,0.01,0.01
13752,0.01,0.01
13788,0.01,0.01
13824,0.01,0.01
13860,0.01,0.01
13896,0.01,0.01
13932,0.01,0.01
13968,0.01,0.01
14004,0.01,0.01
14040,0.01,0.01
14076,0.01,0.01
14112,0.01,0.01
14148,0.01,0.01
14184,0.01,0.01
14220,0.01,0.01
14256,0.01,0.01
14292,0.01,0.01
14328,0.01,0.01
14364,0.01,0.01
14400,0.01,0.01
14436,0.01,0.01
